name	location	university	type	language
Afrikanistik und Ägyptologie	Köln	Universität zu Köln	Master	Deutsch
Afrikastudien	Leipzig	Universität Leipzig	Bachelor	Deutsch
Afrikastudien, angewandte/Kultur und Gesellschaft Afrikas	Bayreuth	Universität Bayreuth	Bachelor	Deutsch
Afrikastudien, angewandte/Kultur und Gesellschaft Afrikas	Bayreuth	Universität Bayreuth	Master	Deutsch
Afrikastudien/African Studies	Leipzig	Universität Leipzig	Master	Englisch
Afrikawissenschaften	Berlin	Humboldt-Universität zu Berlin	Master	Deutsch
Agrar- und Lebensmittelwirtschaft	Osnabrück	Hochschule Osnabrück	Master	Deutsch
Agrar- und Ressourcenökonomie	Gießen	Justus-Liebig-Universität Gießen	Master	Deutsch
Agrarbiologie	Stuttgart-Hohenheim	Universität Hohenheim	Bachelor	Deutsch
Agrarmanagement	Kiel	Fachhochschule Kiel	Master	Deutsch
Agrarmanagement	Köthen	Hochschule Anhalt - Anhalt University of Applied Sciences	Master	Deutsch
Agrarmanagement	Freising	Hochschule für angewandte Wissenschaften - Fachhochschule Weihenstephan-Triesdorf	Master	Deutsch
Agrarsystemwissenschaften	München	Technische Universität München	Master	Deutsch
Agrartechnik	Freising	Hochschule für angewandte Wissenschaften - Fachhochschule Weihenstephan-Triesdorf	Bachelor	Deutsch
Agrarwirtschaft	Neubrandenburg	Hochschule Neubrandenburg - University of Applied Sciences	Bachelor	Deutsch
Agrarwirtschaft	Nürtingen	Hochschule für Wirtschaft und Umwelt Nürtingen-Geislingen	Bachelor	Deutsch
Agrarwirtschaft	Iserlohn	Fachhochschule Südwestfalen	Bachelor	Deutsch
Agrarwirtschaft	Dresden	Hochschule für Technik und Wirtschaft Dresden	Bachelor	Deutsch
Agrarwirtschaft	Neubrandenburg	Hochschule Neubrandenburg - University of Applied Sciences	Bachelor	Deutsch
Agrarwirtschaft	Neubrandenburg	Hochschule Neubrandenburg - University of Applied Sciences	Master	Deutsch
Agrarwirtschaft	Iserlohn	Fachhochschule Südwestfalen	Master	Deutsch
Agrarwirtschaft	Berlin	Humboldt-Universität zu Berlin	Master	Deutsch
Agrarwirtschaft/ Landwirtschaft	Bingen	Technische Hochschule Bingen	Bachelor	Deutsch
Agrarwissenschaft	Bonn	Rheinische Friedrich-Wilhelms-Universität Bonn	Bachelor	Deutsch
Agrarwissenschaft	Bonn	Rheinische Friedrich-Wilhelms-Universität Bonn	Master	Deutsch
Agrarwissenschaften	Gießen	Justus-Liebig-Universität Gießen	Bachelor	Deutsch
Agrarwissenschaften	Stuttgart-Hohenheim	Universität Hohenheim	Bachelor	Deutsch
Agrarwissenschaften	Göttingen	Georg-August-Universität Göttingen	Bachelor	Deutsch
Agrarwissenschaften	Berlin	Humboldt-Universität zu Berlin	Bachelor	Deutsch
Agrarwissenschaften	Halle an der Saale	Martin-Luther-Universität Halle-Wittenberg	Bachelor	Deutsch
Agrarwissenschaften	Kiel	Christian-Albrechts-Universität zu Kiel	Bachelor	Deutsch
Agrarwissenschaften	Bonn	Rheinische Friedrich-Wilhelms-Universität Bonn	Bachelor	Deutsch
Agrarwissenschaften	Rostock	Universität Rostock	Bachelor	Deutsch
Agrarwissenschaften	Stuttgart-Hohenheim	Universität Hohenheim	Master	Deutsch
Agrarwissenschaften	Kiel	Christian-Albrechts-Universität zu Kiel	Master	Deutsch
Agrarwissenschaften	Göttingen	Georg-August-Universität Göttingen	Master	Deutsch
Agrarwissenschaften	Halle an der Saale	Martin-Luther-Universität Halle-Wittenberg	Master	Deutsch
Agrarwissenschaften und Gartenbauwissenschaften	München	Technische Universität München	Bachelor	Deutsch
Agribusiness	Kleve	Hochschule Rhein-Waal - University of Applied Sciences	Bachelor	Englisch
Agribusiness	Stuttgart-Hohenheim	Universität Hohenheim	Master	Deutsch
Agribusiness	Göttingen	Georg-August-Universität Göttingen	Master	Deutsch
Agricultural and Food Economics (AFECO)	Bonn	Rheinische Friedrich-Wilhelms-Universität Bonn	Master	Englisch
Agricultural Economics	Berlin	Humboldt-Universität zu Berlin	Master	Englisch
Agricultural Economics	Stuttgart-Hohenheim	Universität Hohenheim	Master	Englisch
Agricultural Science and Resource Management in the Tropics and Subtropics (ARTS)	Bonn	Rheinische Friedrich-Wilhelms-Universität Bonn	Master	Englisch
Agricultural Sciences in the Tropics and Subtropics	Stuttgart-Hohenheim	Universität Hohenheim	Master	Englisch
AgriGenomics	Kiel	Christian-Albrechts-Universität zu Kiel	Master	Englisch
Agrobiotechnology	Gießen	Justus-Liebig-Universität Gießen	Master	Englisch
Ägyptologie	Leipzig	Universität Leipzig	Bachelor	Deutsch
Ägyptologie	Trier	Universität Trier	Bachelor	Deutsch
Ägyptologie	Heidelberg	Ruprecht-Karls-Universität Heidelberg	Bachelor	Deutsch
Ägyptologie	Tübingen	Eberhard Karls Universität Tübingen	Bachelor	Deutsch
Ägyptologie	Würzburg	Julius-Maximilians-Universität Würzburg	Bachelor	Deutsch
Ägyptologie	Würzburg	Julius-Maximilians-Universität Würzburg	Master	Deutsch
Ägyptologie	Tübingen	Eberhard Karls Universität Tübingen	Master	Deutsch
Ägyptologie	Heidelberg	Ruprecht-Karls-Universität Heidelberg	Master	Deutsch
Ägyptologie	Trier	Universität Trier	Master	Deutsch
Ägyptologie	Berlin	Freie Universität Berlin	Master	Deutsch
Ägyptologie	Leipzig	Universität Leipzig	Master	Deutsch
Ägyptologie / Altorientalistik	Mainz	Johannes Gutenberg-Universität Mainz	Bachelor	Deutsch
Ägyptologie / Altorientalistik	Mainz	Johannes Gutenberg-Universität Mainz	Master	Deutsch
Ägyptologie und Koptologie	Göttingen	Georg-August-Universität Göttingen	Bachelor	Deutsch
Ägyptologie und Koptologie	München	Ludwig-Maximilians-Universität München	Bachelor	Deutsch
Ägyptologie und Koptologie	Göttingen	Georg-August-Universität Göttingen	Master	Deutsch
Ägyptologie und Koptologie	München	Ludwig-Maximilians-Universität München	Master	Deutsch
Air Quality Control, Solid Waste and Waste Water Process Engineering (WASTE)	Stuttgart	Universität Stuttgart	Master	Englisch
Air Traffic Management	Worms	Hochschule Worms, University of Applied Sciences	Bachelor	Englisch
Aircraft and Flight Engineering	Osnabrück	Hochschule Osnabrück	Bachelor	Deutsch
Aisthesis.Kultur und Medien	Eichstätt	Katholische Universität Eichstätt - Ingolstadt	Bachelor	Deutsch
Akademische Sprachtherapie/Logopädie	Würzburg	Julius-Maximilians-Universität Würzburg	Bachelor	Deutsch
Akkordeon	Freiburg	Hochschule für Musik Freiburg im Breisgau	Bachelor	Deutsch
Akkordeon	München	Hochschule für Musik und Theater München	Bachelor	Deutsch
Akkordeon	Nürnberg	Hochschule für Musik Nürnberg	Bachelor	Deutsch
Akkordeon	Nürnberg	Hochschule für Musik Nürnberg	Master	Deutsch
Akkordeon (künstlerisch)	Würzburg	Hochschule für Musik Würzburg	Bachelor	Deutsch
Akkordeon (künstlerisch)	Würzburg	Hochschule für Musik Würzburg	Master	Deutsch
Akkordeon (künstlerisch-pädagogisch)	Würzburg	Hochschule für Musik Würzburg	Bachelor	Deutsch
Akkordeon (künstlerisch-pädagogisch)	Würzburg	Hochschule für Musik Würzburg	Master	Deutsch
Aktuarwissenschaften	Ulm	Universität Ulm	Master	Deutsch
Aktuelle Musik: Instrument/Gesang	Nürnberg	Hochschule für Musik Nürnberg	Master	Deutsch
Aktuelle Musik: Komposition	Nürnberg	Hochschule für Musik Nürnberg	Master	Deutsch
Akustik	Stuttgart	Universität Stuttgart	Master	Deutsch
Akustik und Technologie des Musikinstrumentenbaus	Zwickau	Westsächsische Hochschule Zwickau	Master	Deutsch
Albanologie	München	Ludwig-Maximilians-Universität München	Master	Deutsch
Alevitische Religion	Hamburg	Universität Hamburg	Bachelor	Deutsch
Alevitische Religionslehre/Religionspädagogik	Weingarten	Pädagogische Hochschule Weingarten	Staatsexamen	Deutsch
Allgemeine Informatik	Furtwangen	Hochschule Furtwangen - Informatik, Technik, Wirtschaft, Medien, Gesundheit	Bachelor	Deutsch
Allgemeine Informatik	Frankfurt am Main	Frankfurt University of Applied Sciences	Master	Deutsch
Allgemeine Rhetorik	Tübingen	Eberhard Karls Universität Tübingen	Bachelor	Deutsch
Allgemeine Rhetorik	Tübingen	Eberhard Karls Universität Tübingen	Master	Deutsch
Allgemeine Sprachwissenschaft	Bamberg	Otto-Friedrich-Universität Bamberg	Bachelor	Deutsch
Allgemeine Sprachwissenschaft	Tübingen	Eberhard Karls Universität Tübingen	Bachelor	Deutsch
Allgemeine Sprachwissenschaft	Göttingen	Georg-August-Universität Göttingen	Bachelor	Deutsch
Allgemeine Sprachwissenschaft	Hamburg	Universität Hamburg	Bachelor	Deutsch
Allgemeine Sprachwissenschaft	Tübingen	Eberhard Karls Universität Tübingen	Master	Deutsch
Allgemeine und Angewandte Sprachwissenschaft	Würzburg	Julius-Maximilians-Universität Würzburg	Master	Deutsch
Allgemeine und Digitale Forensik	Mittweida	Hochschule Mittweida, University of Applied Sciences	Bachelor	Deutsch
Allgemeine und Vergleichende Literaturwissenschaft	Bochum	Ruhr-Universität Bochum	Bachelor	Deutsch
Allgemeine und Vergleichende Literaturwissenschaft	Berlin	Freie Universität Berlin	Bachelor	Deutsch
Allgemeine und Vergleichende Literaturwissenschaft	Bochum	Ruhr-Universität Bochum	Master	Deutsch
Allgemeine und Vergleichende Literaturwissenschaft	Berlin	Freie Universität Berlin	Master	Deutsch
Allgemeine und Vergleichende Literaturwissenschaft	Wuppertal	Bergische Universität Wuppertal	Master	Deutsch
Allgemeine und Vergleichende Literaturwissenschaft	Saarbrücken	Universität des Saarlandes	Master	Deutsch
Allgemeine und Vergleichende Literaturwissenschaft	Wuppertal	Bergische Universität Wuppertal	Master	Deutsch
Allgemeine und Vergleichende Medienwissenschaft	Regensburg	Universität Regensburg	Master	Deutsch
Allgemeine und Vergleichende Sprachwissenschaft	Regensburg	Universität Regensburg	Bachelor	Deutsch
Allgemeine und Vergleichende Sprachwissenschaft	Regensburg	Universität Regensburg	Master	Deutsch
Allgemeine Verwaltung	Hannover	Kommunale Hochschule für Verwaltung in Niedersachsen	Bachelor	Deutsch
Allgemeiner Ingenieurbau	Augsburg	Hochschule für angewandte Wissenschaften Augsburg - University of Applied Sciences	Master	Deutsch
Allgemeiner Ingenieurbau	München	Hochschule für angewandte Wissenschaften München	Master	Deutsch
Allgemeiner Maschinenbau	Aalen	Hochschule Aalen - Technik und Wirtschaft	Bachelor	Deutsch
Allgemeiner Maschinenbau	Darmstadt	Hochschule Darmstadt	Bachelor	Deutsch
Allgemeiner Maschinenbau	Osnabrück	Hochschule Osnabrück	Bachelor	Deutsch
Allgemeiner Maschinenbau	Frankfurt am Main	Frankfurt University of Applied Sciences	Master	Deutsch
Allgemeiner Maschinenbau (Berufsbegleitendes Studienprogramm des Graduate Campus Hochschule Aalen)	Aalen	Hochschule Aalen - Technik und Wirtschaft	Bachelor	Deutsch
Allgemeiner Maschinenbau Plus	Aalen	Hochschule Aalen - Technik und Wirtschaft	Bachelor	Deutsch
Allgemeines Bauingenieurwesen	Coburg	Hochschule für angewandte Wissenschaften Coburg	Bachelor	Deutsch
Alltagskultur und Gesundheit	Weingarten	Pädagogische Hochschule Weingarten	Bachelor	Deutsch
Alltagskultur und Gesundheit	Karlsruhe	Pädagogische Hochschule Karlsruhe	Bachelor	Deutsch
Alltagskultur und Gesundheit	Weingarten	Pädagogische Hochschule Weingarten	Master	Deutsch
Alltagskultur und Gesundheit	Karlsruhe	Pädagogische Hochschule Karlsruhe	Bachelor	Deutsch
