name	location	university	type	language
Biologie	Münster	Westfälische Wilhelms-Universität Münster	Bachelor	Deutsch
Biologie	Münster	Westfälische Wilhelms-Universität Münster	Bachelor	Deutsch
Biologie	Gießen	Justus-Liebig-Universität Gießen	Bachelor	Deutsch
Biologie	Berlin	Freie Universität Berlin	Bachelor	Deutsch
Biologie	Aachen	Rheinisch-Westfälische Technische Hochschule Aachen	Bachelor	Deutsch
Biologie	Kaiserslautern	Technische Universität Kaiserslautern	Bachelor	Deutsch
Biologie	Regensburg	Universität Regensburg	Bachelor	Deutsch
Biologie	Göttingen	Georg-August-Universität Göttingen	Bachelor	Deutsch
Biologie	Wuppertal	Bergische Universität Wuppertal	Bachelor	Deutsch
Biologie	Osnabrück	Universität Osnabrück	Bachelor	Deutsch
Biologie	Ulm	Universität Ulm	Bachelor	Deutsch
Biologie	Halle an der Saale	Martin-Luther-Universität Halle-Wittenberg	Bachelor	Deutsch
Biologie	Bonn	Rheinische Friedrich-Wilhelms-Universität Bonn	Bachelor	Deutsch
Biologie	Tübingen	Eberhard Karls Universität Tübingen	Bachelor	Deutsch
Biologie	Karlsruhe	Karlsruher Institut für Technologie	Bachelor	Deutsch
Biologie	Bayreuth	Universität Bayreuth	Bachelor	Deutsch
Biologie	Köln	Universität zu Köln	Bachelor	Deutsch
Biologie	Kiel	Christian-Albrechts-Universität zu Kiel	Bachelor	Deutsch
Biologie	Kiel	Christian-Albrechts-Universität zu Kiel	Bachelor	Deutsch
Biologie	Oldenburg	Carl von Ossietzky Universität Oldenburg	Bachelor	Deutsch
Biologie	München	Ludwig-Maximilians-Universität München	Bachelor	Deutsch
Biologie	Mainz	Johannes Gutenberg-Universität Mainz	Bachelor	Deutsch
Biologie	Mainz	Johannes Gutenberg-Universität Mainz	Bachelor	Deutsch
Biologie	Saarbrücken	Universität des Saarlandes	Bachelor	Deutsch
Biologie	Essen	Universität Duisburg-Essen	Bachelor	Deutsch
Biologie	Jena	Friedrich-Schiller-Universität Jena	Bachelor	Deutsch
Biologie	Saarbrücken	Universität des Saarlandes	Staatsexamen	Deutsch
Biologie	Saarbrücken	Universität des Saarlandes	Staatsexamen	Deutsch
Biologie	Saarbrücken	Universität des Saarlandes	Staatsexamen	Deutsch
Biologie	Siegen	Universität Siegen	Bachelor	Deutsch
Biologie	Kaiserslautern	Technische Universität Kaiserslautern	Bachelor	Deutsch
Biologie	Rostock	Universität Rostock	Staatsexamen	Deutsch
Biologie	Stuttgart-Hohenheim	Universität Hohenheim	Bachelor	Deutsch
Biologie	Essen	Universität Duisburg-Essen	Bachelor	Deutsch
Biologie	Osnabrück	Universität Osnabrück	Bachelor	Deutsch
Biologie	Frankfurt am Main	Johann Wolfgang Goethe-Universität, Frankfurt am Main	Staatsexamen	Deutsch
Biologie	Bielefeld	Universität Bielefeld	Bachelor	Deutsch
Biologie	Bonn	Rheinische Friedrich-Wilhelms-Universität Bonn	Bachelor	Deutsch
Biologie	Köln	Universität zu Köln	Bachelor	Deutsch
Biologie	Köln	Universität zu Köln	Bachelor	Deutsch
Biologie	Köln	Universität zu Köln	Bachelor	Deutsch
Biologie	Köln	Universität zu Köln	Bachelor	Deutsch
Biologie	Schwäbisch Gmünd	Pädagogische Hochschule Schwäbisch Gmünd	Bachelor	Deutsch
Biologie	Schwäbisch Gmünd	Pädagogische Hochschule Schwäbisch Gmünd	Bachelor	Deutsch
Biologie	Bielefeld	Universität Bielefeld	Bachelor	Deutsch
Biologie	Leipzig	Universität Leipzig	Staatsexamen	Deutsch
Biologie	Leipzig	Universität Leipzig	Staatsexamen	Deutsch
Biologie	Flensburg	Europa-Universität Flensburg	Bachelor	Deutsch
Biologie	Freiburg	Albert-Ludwigs-Universität Freiburg im Breisgau	Bachelor	Deutsch
Biologie	Freiburg	Pädagogische Hochschule Freiburg	Bachelor	Deutsch
Biologie	Freiburg	Pädagogische Hochschule Freiburg	Bachelor	Deutsch
Biologie	Wuppertal	Bergische Universität Wuppertal	Bachelor	Deutsch
Biologie	Siegen	Universität Siegen	Bachelor	Deutsch
Biologie	Bremen	Universität Bremen	Bachelor	Deutsch
Biologie	Heidelberg	Pädagogische Hochschule Heidelberg	Bachelor	Deutsch
Biologie	München	Technische Universität München	Master	Deutsch
Biologie	Bochum	Ruhr-Universität Bochum	Master	Deutsch
Biologie	Düsseldorf	Heinrich-Heine-Universität Düsseldorf	Master	Deutsch
Biologie	Gießen	Justus-Liebig-Universität Gießen	Master	Deutsch
Biologie	Bielefeld	Universität Bielefeld	Master	Deutsch
Biologie	Bielefeld	Universität Bielefeld	Master	Deutsch
Biologie	Leipzig	Universität Leipzig	Master	Deutsch
Biologie	Bochum	Ruhr-Universität Bochum	Master	Deutsch
Biologie	Aachen	Rheinisch-Westfälische Technische Hochschule Aachen	Master	Deutsch
Biologie	Ulm	Universität Ulm	Master	Englisch
Biologie	Karlsruhe	Karlsruher Institut für Technologie	Master	Deutsch
Biologie	Braunschweig	Technische Universität Carolo-Wilhelmina zu Braunschweig	Master	Deutsch
Biologie	Kaiserslautern	Technische Universität Kaiserslautern	Master	Deutsch
Biologie	Kaiserslautern	Technische Universität Kaiserslautern	Master	Deutsch
Biologie	Oldenburg	Carl von Ossietzky Universität Oldenburg	Master	Deutsch
Biologie	Oldenburg	Carl von Ossietzky Universität Oldenburg	Master	Deutsch
Biologie	Oldenburg	Carl von Ossietzky Universität Oldenburg	Master	Deutsch
Biologie	Dresden	Technische Universität Dresden	Master	Deutsch
Biologie	Hannover	Gottfried Wilhelm Leibniz Universität Hannover	Master	Deutsch
Biologie	Münster	Westfälische Wilhelms-Universität Münster	Master	Deutsch
Biologie	Darmstadt	Technische Universität Darmstadt	Master	Deutsch
Biologie	Münster	Westfälische Wilhelms-Universität Münster	Master	Deutsch
Biologie	Kiel	Christian-Albrechts-Universität zu Kiel	Master	Deutsch
Biologie	Kiel	Christian-Albrechts-Universität zu Kiel	Master	Deutsch
Biologie	Münster	Westfälische Wilhelms-Universität Münster	Master	Deutsch
Biologie	Mainz	Johannes Gutenberg-Universität Mainz	Master	Deutsch
Biologie	Hamburg	Universität Hamburg	Master	Deutsch
Biologie	Vechta	Universität Vechta	Master	Deutsch
Biologie	Berlin	Humboldt-Universität zu Berlin	Master	Deutsch
Biologie	Kassel	Universität Kassel	Master	Deutsch
Biologie	Kaiserslautern	Technische Universität Kaiserslautern	Master	Deutsch
Biologie	Hildesheim	Universität Hildesheim	Master	Deutsch
Biologie	Hildesheim	Universität Hildesheim	Master	Deutsch
Biologie	Stuttgart-Hohenheim	Universität Hohenheim	Master	Deutsch
Biologie	Bayreuth	Universität Bayreuth	Master	Deutsch
Biologie	Halle an der Saale	Martin-Luther-Universität Halle-Wittenberg	Master	Deutsch
Biologie	Mainz	Johannes Gutenberg-Universität Mainz	Master	Deutsch
Biologie	Berlin	Freie Universität Berlin	Master	Deutsch
Biologie	Bremen	Universität Bremen	Master	Deutsch
Biologie	Freiburg	Albert-Ludwigs-Universität Freiburg im Breisgau	Master	Deutsch
Biologie	Essen	Universität Duisburg-Essen	Master	Deutsch
Biologie	Essen	Universität Duisburg-Essen	Master	Deutsch
Biologie	Essen	Universität Duisburg-Essen	Master	Deutsch
Biologie	Essen	Universität Duisburg-Essen	Master	Deutsch
Biologie	Flensburg	Europa-Universität Flensburg	Master	Deutsch
Biologie	Flensburg	Europa-Universität Flensburg	Master	Deutsch
Biologie	Wuppertal	Bergische Universität Wuppertal	Master	Deutsch
Biologie	Wuppertal	Bergische Universität Wuppertal	Master	Deutsch
Biologie	Aachen	Rheinisch-Westfälische Technische Hochschule Aachen	Master	Deutsch
Biologie	Bielefeld	Universität Bielefeld	Master	Deutsch
Biologie	Bielefeld	Universität Bielefeld	Master	Deutsch
Biologie	Köln	Universität zu Köln	Master	Deutsch
Biologie	Köln	Universität zu Köln	Master	Deutsch
Biologie	Köln	Universität zu Köln	Master	Deutsch
Biologie	Köln	Universität zu Köln	Master	Deutsch
Biologie	Siegen	Universität Siegen	Master	Deutsch
Biologie	Flensburg	Europa-Universität Flensburg	Master	Deutsch
Biologie	Hamburg	Universität Hamburg	Master	Deutsch
Biologie	Hamburg	Universität Hamburg	Master	Deutsch
Biologie	Hamburg	Universität Hamburg	Master	Deutsch
Biologie	Hamburg	Universität Hamburg	Master	Deutsch
Biologie	Stuttgart-Hohenheim	Universität Hohenheim	Master	Deutsch
Biologie	Konstanz	Universität Konstanz	Master	Deutsch
Biologie	Heidelberg	Pädagogische Hochschule Heidelberg	Master	Deutsch
Biologie	Karlsruhe	Pädagogische Hochschule Karlsruhe	Master	Deutsch
Biologie	Karlsruhe	Pädagogische Hochschule Karlsruhe	Master	Deutsch
Biologie	Ulm	Universität Ulm	Master	Deutsch
Biologie	Tübingen	Eberhard Karls Universität Tübingen	Master	Deutsch
Biologie	Heidelberg	Ruprecht-Karls-Universität Heidelberg	Master	Deutsch
Biologie	Freiburg	Albert-Ludwigs-Universität Freiburg im Breisgau	Master	Deutsch
Biologie	Schwäbisch Gmünd	Pädagogische Hochschule Schwäbisch Gmünd	Master	Deutsch
Biologie	Ludwigsburg	Pädagogische Hochschule Ludwigsburg	Master	Deutsch
Biologie	Ludwigsburg	Pädagogische Hochschule Ludwigsburg	Master	Deutsch
Biologie	Siegen	Universität Siegen	Master	Deutsch
Biologie	Wuppertal	Bergische Universität Wuppertal	Master	Deutsch
Biologie (Erweiterungsfach)	Karlsruhe	Karlsruher Institut für Technologie	Master	Deutsch
Biologie (Hauptfach)	Karlsruhe	Karlsruher Institut für Technologie	Master	Deutsch
Biologie (Koblenz)	Mainz	Universität Koblenz-Landau	Bachelor	Deutsch
Biologie (Koblenz, Lehramt an berufsbildenden Schulen)	Mainz	Universität Koblenz-Landau	Master	Deutsch
Biologie (Koblenz, Lehramt Gymnasium)	Mainz	Universität Koblenz-Landau	Master	Deutsch
Biologie (Koblenz, Lehramt Realschule Plus)	Mainz	Universität Koblenz-Landau	Master	Deutsch
Biologie (Landau)	Mainz	Universität Koblenz-Landau	Bachelor	Deutsch
Biologie (Landau, Lehramt Gymnasium)	Mainz	Universität Koblenz-Landau	Master	Deutsch
Biologie (Landau, Lehramt Realschule Plus)	Mainz	Universität Koblenz-Landau	Master	Deutsch
Biologie (Lehramt an berufsbildenden Schulen)	Mainz	Universität Koblenz-Landau	Bachelor	Deutsch
Biologie (Lehramt an berufsbildenden Schulen)	Osnabrück	Universität Osnabrück	Master	Deutsch
Biologie (Lehramt an Gymnasien)	Osnabrück	Universität Osnabrück	Master	Deutsch
Biologie (Lehramt an Gymnasien)	Göttingen	Georg-August-Universität Göttingen	Master	Deutsch
Biologie (Lehramt an Haupt- und Realschulen)	Osnabrück	Universität Osnabrück	Master	Deutsch
Biologie (Lehramt an Realschulen)	Braunschweig	Technische Universität Carolo-Wilhelmina zu Braunschweig	Master	Deutsch
Biologie (Lehramt Schwerpunkt Hauptschulen)	Braunschweig	Technische Universität Carolo-Wilhelmina zu Braunschweig	Master	Deutsch
Biologie (lehramtsbezogen)	Potsdam	Universität Potsdam	Bachelor	Deutsch
Biologie (lehramtsbezogen)	Berlin	Freie Universität Berlin	Bachelor	Deutsch
Biologie (lehramtsbezogen)	Potsdam	Universität Potsdam	Master	Deutsch
Biologie (lehramtsbezogen)	Berlin	Freie Universität Berlin	Master	Deutsch
Biologie (Unterrichtsfach Lehramt)	Lüneburg	Leuphana Universität Lüneburg	Bachelor	Deutsch
Biologie (Unterrichtsfach Lehramt)	Lüneburg	Leuphana Universität Lüneburg	Master	Deutsch
Biologie - Behaviour: From Neural Mechanisms to Evolution	Bielefeld	Universität Bielefeld	Master	Englisch
Biologie - Fundamental and Applied Ecology	Bielefeld	Universität Bielefeld	Master	Deutsch
Biologie - Genome Based Systems Biology	Bielefeld	Universität Bielefeld	Master	Deutsch
Biologie - Molecular Cell Biology	Bielefeld	Universität Bielefeld	Master	Deutsch
Biologie - Variante einjährig	Düsseldorf	Heinrich-Heine-Universität Düsseldorf	Master	Deutsch
Biologie und ihre Vermittlung	Braunschweig	Technische Universität Carolo-Wilhelmina zu Braunschweig	Bachelor	Deutsch
Biologie, Molekulare	Gelsenkirchen	Westfälische Hochschule Gelsenkirchen, Bocholt, Recklinghausen	Bachelor	Deutsch
Biologie, Molekulare	Gelsenkirchen	Westfälische Hochschule Gelsenkirchen, Bocholt, Recklinghausen	Master	Deutsch
Biologie/Biology From Molecules to Organism	Osnabrück	Universität Osnabrück	Master	Deutsch
Biologie: Biodiversität, Evolution und Ökologie	Berlin	Freie Universität Berlin	Master	Deutsch
Biologische Chemie	Mannheim	Hochschule Mannheim	Bachelor	Deutsch
Biologische Chemie	Berlin	Technische Universität Berlin	Master	Deutsch
Biologische Diversität und Ökologie	Göttingen	Georg-August-Universität Göttingen	Bachelor	Deutsch
Biology	Oldenburg	Carl von Ossietzky Universität Oldenburg	Master	Englisch
Biology	Kaiserslautern	Technische Universität Kaiserslautern	Master	Englisch
Biomassetechnologie	München	Technische Universität München	Master	Deutsch
Biomaterials and Biomedical Science	Essen	Universität Duisburg-Essen	Master	Deutsch
Biomaterials Science	Kleve	Hochschule Rhein-Waal - University of Applied Sciences	Bachelor	Englisch
Biomathematik	Koblenz	Hochschule Koblenz	Bachelor	Deutsch
Biomathematik	Greifswald	Universität Greifswald	Bachelor	Deutsch
Biomathematik	Greifswald	Universität Greifswald	Master	Deutsch
Biomechanik	Offenburg	Hochschule für Technik, Wirtschaft und Medien Offenburg	Bachelor	Deutsch
Biomechanik-Motorik-Bewegungsanalyse	Gießen	Justus-Liebig-Universität Gießen	Master	Deutsch
BioMechatronik	Bielefeld	Universität Bielefeld	Master	Deutsch
Biomedical Computing	München	Technische Universität München	Master	Englisch
Biomedical Engineering	Köthen	Hochschule Anhalt - Anhalt University of Applied Sciences	Master	Englisch
Biomedical Engineering	Regensburg	Ostbayerische Technische Hochschule Regensburg	Bachelor	Deutsch
Biomedical Engineering	Furtwangen	Hochschule Furtwangen - Informatik, Technik, Wirtschaft, Medien, Gesundheit	Master	Englisch
Biomedical Engineering	Aachen	Fachhochschule Aachen	Master	Englisch
Biomedical Engineering	Aachen	Rheinisch-Westfälische Technische Hochschule Aachen	Master	Englisch
Biomedical Engineering	Lübeck	Technische Hochschule Lübeck	Master	Englisch
Biomedical Engineering	Heidelberg	Ruprecht-Karls-Universität Heidelberg	Master	Englisch
Biomedical Engineering (AOS)	Aachen	Fachhochschule Aachen	Bachelor	Deutsch
Biomedical Engineering: Signal Processing-, Imaging- and Control-Systems	Hamburg	Hochschule für Angewandte Wissenschaften Hamburg	Master	Englisch
Biomedical Neuroscience	München	Technische Universität München	Master	Englisch
Biomedical Science	Greifswald	Universität Greifswald	Bachelor	Deutsch
Biomedical Sciences	Idstein	Hochschule Fresenius	Bachelor	Deutsch
Biomedical Sciences	Sigmaringen	Hochschule Albstadt-Sigmaringen	Master	Deutsch
Biomedical Sciences	Sankt Augustin	Hochschule Bonn-Rhein-Sieg, University of Applied Sciences	Master	Englisch
Biomedical Sciences	Reutlingen	Hochschule Reutlingen, Hochschule für Technik-  Wirtschaft-Informatik-Design	Master	Deutsch
Biomedical Sciences	Freiburg	Albert-Ludwigs-Universität Freiburg im Breisgau	Master	Englisch
Biomedical Technologies	Tübingen	Eberhard Karls Universität Tübingen	Master	Englisch
Biomedical Technology / Digital Biomedical and Health Sciences (2 Kernfächer) [Biomedizin, Chemie]	Siegen	Universität Siegen	Bachelor	Deutsch
Biomedizin	Mainz	Johannes Gutenberg-Universität Mainz	Master	Deutsch
Biomedizin	Würzburg	Julius-Maximilians-Universität Würzburg	Bachelor	Deutsch
Biomedizin	Würzburg	Julius-Maximilians-Universität Würzburg	Master	Deutsch
Biomedizin	Hannover	Medizinische Hochschule Hannover (MHH)	Master	Deutsch
Biomedizinische Chemie	Mainz	Johannes Gutenberg-Universität Mainz	Bachelor	Deutsch
Biomedizinische Chemie	Mainz	Johannes Gutenberg-Universität Mainz	Master	Deutsch
Biomedizinische Technik	Köthen	Hochschule Anhalt - Anhalt University of Applied Sciences	Bachelor	Deutsch
Biomedizinische Technik	Münster	Fachhochschule Münster	Bachelor	Deutsch
Biomedizinische Technik	Münster	Fachhochschule Münster	Master	Deutsch
Biomedizinische Technik	Gießen	Technische Hochschule Mittelhessen - THM	Bachelor	Deutsch
Biomedizinische Technik	Ilmenau	Technische Universität Ilmenau	Bachelor	Deutsch
Biomedizinische Technik	Saarbrücken	Hochschule für Technik und Wirtschaft des Saarlandes	Bachelor	Deutsch
Biomedizinische Technik	Aachen	Fachhochschule Aachen	Bachelor	Deutsch
Biomedizinische Technik	Rostock	Universität Rostock	Bachelor	Deutsch
Biomedizinische Technik	Ansbach	Hochschule für angewandte Wissenschaften Ansbach	Bachelor	Deutsch
Biomedizinische Technik	Zwickau	Westsächsische Hochschule Zwickau	Bachelor	Deutsch
Biomedizinische Technik	Landshut	Hochschule Landshut - Hochschule für angewandte Wissenschaften	Bachelor	Deutsch
Biomedizinische Technik	Chemnitz	Technische Universität Chemnitz	Bachelor	Deutsch
Biomedizinische Technik	Berlin	Technische Universität Berlin	Master	Deutsch
Biomedizinische Technik	Ilmenau	Technische Universität Ilmenau	Master	Deutsch
Biomedizinische Technik	Rostock	Universität Rostock	Master	Deutsch
Biomedizinische Technik	Chemnitz	Technische Universität Chemnitz	Master	Deutsch
Biomedizinische Technik	Gießen	Technische Hochschule Mittelhessen - THM	Master	Deutsch
Biomedizinische Technik mit Praxissemester	Aachen	Fachhochschule Aachen	Bachelor	Deutsch
Biomedizinische Technologie	Hamm	Hochschule Hamm-Lippstadt	Bachelor	Deutsch
Biomedizinische Wissenschaften	Reutlingen	Hochschule Reutlingen, Hochschule für Technik-  Wirtschaft-Informatik-Design	Bachelor	Deutsch
Biomedizinisches Management und Marketing	Hamm	Hochschule Hamm-Lippstadt	Master	Deutsch
Biomedizintechnik	Dortmund	Fachhochschule Dortmund	Bachelor	Deutsch
Biomedizintechnik	Hannover	Gottfried Wilhelm Leibniz Universität Hannover	Master	Deutsch
Biomedizintechnik - medizinische Geräte und Verfahren, Auge und Technologie, Qualität und Sicherheit	Lübeck	Technische Hochschule Lübeck	Bachelor	Deutsch
Biomedizintechnik mit Praxissemester	Dortmund	Fachhochschule Dortmund	Bachelor	Deutsch
Biomolecular Engineering - Molekulare Biotechnologie	Darmstadt	Technische Universität Darmstadt	Bachelor	Deutsch
Biomolecular Engineering - Molekulare Biotechnologie	Darmstadt	Technische Universität Darmstadt	Master	Deutsch
Bionics	Kleve	Hochschule Rhein-Waal - University of Applied Sciences	Master	Englisch
Bionik	Gelsenkirchen	Westfälische Hochschule Gelsenkirchen, Bocholt, Recklinghausen	Bachelor	Deutsch
Bionik dual	Gelsenkirchen	Westfälische Hochschule Gelsenkirchen, Bocholt, Recklinghausen	Bachelor	Deutsch
Bionik: Mobile Systeme	Bremen	Hochschule Bremen	Master	Deutsch
Bioökonomie	München	Technische Universität München	Bachelor	Deutsch
Biopharmaceutical Science	Frankfurt am Main	Provadis School of International Management and Technology	Bachelor	Deutsch
Biopharmazeutisch-Medizintechnische Wissenschaften	Biberach	Hochschule Biberach - Hochschule für Architektur und Bauwesen, Betriebswirtschaft und Biotechnologie	Master	Deutsch
Biophysics	Ulm	Universität Ulm	Master	Englisch
Biophysik	Lübeck	Universität zu Lübeck	Bachelor	Deutsch
Biophysik	Berlin	Humboldt-Universität zu Berlin	Bachelor	Deutsch
Biophysik	Frankfurt am Main	Johann Wolfgang Goethe-Universität, Frankfurt am Main	Bachelor	Deutsch
Biophysik	Saarbrücken	Universität des Saarlandes	Bachelor	Deutsch
Biophysik	Kaiserslautern	Technische Universität Kaiserslautern	Bachelor	Deutsch
Biophysik	Bielefeld	Universität Bielefeld	Master	Deutsch
Biophysik	Berlin	Humboldt-Universität zu Berlin	Master	Deutsch
Biophysik	Frankfurt am Main	Johann Wolfgang Goethe-Universität, Frankfurt am Main	Master	Deutsch
Biophysik	Saarbrücken	Universität des Saarlandes	Master	Deutsch
Biophysik	Kaiserslautern	Technische Universität Kaiserslautern	Master	Deutsch
Biophysik	Lübeck	Universität zu Lübeck	Master	Deutsch
Bioprozessinformatik	Freising	Hochschule für angewandte Wissenschaften - Fachhochschule Weihenstephan-Triesdorf	Bachelor	Deutsch
Bioprozesstechnik	Esslingen	Hochschule Esslingen	Master	Deutsch
Bioressourcen-Nutzung	Hamburg	Universität Hamburg	Bachelor	Deutsch
Biosciences - Angewandte Biologie für Medizin und Pharmazie	Idstein	Hochschule Fresenius	Bachelor	Deutsch
Biostatistik	München	Ludwig-Maximilians-Universität München	Master	Deutsch
Biosystemtechnik	Magdeburg	Otto-von-Guericke-Universität Magdeburg	Bachelor	Deutsch
Biosystemtechnik	Magdeburg	Otto-von-Guericke-Universität Magdeburg	Master	Deutsch
Biosystemtechnik/Bioinformatik	Wildau	Technische Hochschule Wildau	Bachelor	Deutsch
Biosystemtechnik/Bioinformatik	Wildau	Technische Hochschule Wildau	Master	Deutsch
Biotechnik	Essen	Universität Duisburg-Essen	Bachelor	Deutsch
Biotechnik	Essen	Universität Duisburg-Essen	Master	Deutsch
Biotechnische Chemie	Ilmenau	Technische Universität Ilmenau	Bachelor	Deutsch
Biotechnische Chemie	Ilmenau	Technische Universität Ilmenau	Master	Deutsch
Biotechnologie	Köthen	Hochschule Anhalt - Anhalt University of Applied Sciences	Bachelor	Deutsch
Biotechnologie	Mannheim	Hochschule Mannheim	Bachelor	Deutsch
Biotechnologie	Berlin	Technische Universität Berlin	Bachelor	Deutsch
Biotechnologie	Berlin	Beuth Hochschule für Technik Berlin	Bachelor	Deutsch
Biotechnologie	Berlin	Beuth Hochschule für Technik Berlin	Master	Deutsch
Biotechnologie	Köthen	Hochschule Anhalt - Anhalt University of Applied Sciences	Master	Deutsch
Biotechnologie	Freising	Hochschule für angewandte Wissenschaften - Fachhochschule Weihenstephan-Triesdorf	Bachelor	Deutsch
Biotechnologie	Jena	Ernst-Abbe-Hochschule Jena ? University of Applied Sciences	Bachelor	Deutsch
Biotechnologie	Cottbus	Brandenburgische Technische Universität Cottbus-Senftenberg	Bachelor	Deutsch
Biotechnologie	Hamburg	Hochschule für Angewandte Wissenschaften Hamburg	Bachelor	Deutsch
Biotechnologie	Darmstadt	Hochschule Darmstadt	Bachelor	Deutsch
Biotechnologie	Esslingen	Hochschule Esslingen	Bachelor	Deutsch
Biotechnologie	Braunschweig	Technische Universität Carolo-Wilhelmina zu Braunschweig	Bachelor	Deutsch
Biotechnologie	Bingen	Technische Hochschule Bingen	Bachelor	Deutsch
Biotechnologie	Aachen	Fachhochschule Aachen	Bachelor	Deutsch
Biotechnologie	Mittweida	Hochschule Mittweida, University of Applied Sciences	Bachelor	Deutsch
Biotechnologie	Cottbus	Brandenburgische Technische Universität Cottbus-Senftenberg	Master	Englisch
Biotechnologie	Saarbrücken	Universität des Saarlandes	Master	Deutsch
Biotechnologie	Münster	Westfälische Wilhelms-Universität Münster	Master	Englisch
Biotechnologie	Braunschweig	Technische Universität Carolo-Wilhelmina zu Braunschweig	Master	Deutsch
Biotechnologie	Bremerhaven	Hochschule Bremerhaven	Master	Deutsch
Biotechnologie	Aachen	Fachhochschule Aachen	Master	Deutsch
Biotechnologie	Berlin	Technische Universität Berlin	Master	Deutsch
Biotechnologie	Esslingen	Hochschule Esslingen	Master	Deutsch
Biotechnologie / Bioingenieurwesen	Freising	Hochschule für angewandte Wissenschaften - Fachhochschule Weihenstephan-Triesdorf	Master	Deutsch
Biotechnologie der Marinen Ressourcen	Bremerhaven	Hochschule Bremerhaven	Bachelor	Deutsch
Biotechnologie mit Praxis- oder Auslandssemester	Aachen	Fachhochschule Aachen	Bachelor	Deutsch
Biotechnologie mit Praxissemester	Aachen	Fachhochschule Aachen	Master	Deutsch
Biotechnologie u. Angewandte Ökologie	Zittau	Hochschule Zittau/Görlitz	Master	Deutsch
Biotechnologie und Angewandte Ökologie	Dresden	Technische Universität Dresden	Master	Deutsch
Biotechnologie und chemische Verfahrenstechnik	Bayreuth	Universität Bayreuth	Master	Deutsch
Biotechnologie, Molekulare und Angewandte	Aachen	Rheinisch-Westfälische Technische Hochschule Aachen	Bachelor	Deutsch
Biotechnologie, Molekulare und Angewandte	Aachen	Rheinisch-Westfälische Technische Hochschule Aachen	Master	Deutsch
Biotechnologie/Bioinformatik	Emden	Hochschule Emden/Leer	Bachelor	Deutsch
Biotechnologie/Biopharmazeutische Technologie	Gießen	Technische Hochschule Mittelhessen - THM	Bachelor	Deutsch
Biotechnologie/Biopharmazeutische Technologie	Gießen	Technische Hochschule Mittelhessen - THM	Master	Deutsch
Biotechnology	Mannheim	Hochschule Mannheim	Master	Englisch
Biotechnology in Interdisciplinary Dentistry and Management	Berlin	Steinbeis-Hochschule Berlin	Master	Deutsch
Bioverfahrenstechnik	Hamburg	Technische Universität Hamburg	Bachelor	Deutsch
Bioverfahrenstechnik	Frankfurt am Main	Frankfurt University of Applied Sciences	Bachelor	Deutsch
Bioverfahrenstechnik	Hamburg	Technische Universität Hamburg	Master	Deutsch
Bioverfahrenstechnik	Kaiserslautern	Technische Universität Kaiserslautern	Master	Deutsch
Bioverfahrenstechnik in der Agrar- und Lebensmittelwirtschaft	Osnabrück	Hochschule Osnabrück	Bachelor	Deutsch
Biowissenschaften	Potsdam	Universität Potsdam	Bachelor	Deutsch
Biowissenschaften	Münster	Westfälische Wilhelms-Universität Münster	Bachelor	Deutsch
Biowissenschaften	Frankfurt am Main	Johann Wolfgang Goethe-Universität, Frankfurt am Main	Bachelor	Deutsch
Biowissenschaften	Jena	Friedrich-Schiller-Universität Jena	Bachelor	Deutsch
Biowissenschaften	Rostock	Universität Rostock	Bachelor	Deutsch
Biowissenschaften	Heidelberg	Ruprecht-Karls-Universität Heidelberg	Bachelor	Deutsch
Biowissenschaften	Münster	Westfälische Wilhelms-Universität Münster	Master	Deutsch
Biowissenschaften	Würzburg	Julius-Maximilians-Universität Würzburg	Master	Deutsch
Bläser (Flöte, Oboe, Klarinette, Fagott, Horn, Trompete, Posaune, Tuba, Saxophon)	Rostock	Hochschule für Musik und Theater Rostock	Bachelor	Deutsch
Bläser-Kammermusik	Karlsruhe	Hochschule für Musik Karlsruhe	Master	Deutsch
Blasinstrumente	München	Hochschule für Musik und Theater München	Bachelor	Deutsch
Blasinstrumente	München	Hochschule für Musik und Theater München	Master	Deutsch
Blasinstrumente/Schlagzeug künstlerisch	Leipzig	Hochschule für Musik und Theater "Felix Mendelssohn Bartholdy" Leipzig	Bachelor	Deutsch
Blasinstrumente/Schlagzeug künstlerisch	Leipzig	Hochschule für Musik und Theater "Felix Mendelssohn Bartholdy" Leipzig	Master	Deutsch
Blasinstrumente/Schlagzeug künstlerisch	Leipzig	Hochschule für Musik und Theater "Felix Mendelssohn Bartholdy" Leipzig	Abschlussprüfung	Deutsch
Blasinstrumente/Schlagzeug musikpädagogisch	Leipzig	Hochschule für Musik und Theater "Felix Mendelssohn Bartholdy" Leipzig	Master	Deutsch
Blasinstrumente/Schlagzeug pädagogisch-künstlerisch	Leipzig	Hochschule für Musik und Theater "Felix Mendelssohn Bartholdy" Leipzig	Master	Deutsch
Blasorchesterleitung (künstlerisch)	Würzburg	Hochschule für Musik Würzburg	Master	Deutsch
Blechbläser (künstlerisch)	Würzburg	Hochschule für Musik Würzburg	Master	Deutsch
Blechbläser (künstlerisch-pädagogisch)	Würzburg	Hochschule für Musik Würzburg	Master	Deutsch
Blechblasinstrumente	Nürnberg	Hochschule für Musik Nürnberg	Bachelor	Deutsch
Blechblasinstrumente	Nürnberg	Hochschule für Musik Nürnberg	Master	Deutsch
