item,itemLabel,itemDescription,instanceLabel,subclassLabel,image
http://www.wikidata.org/entity/Q43455,ethnology,social science that deals with ethnies (Peoples),academic discipline,cultural studies,http://commons.wikimedia.org/wiki/Special:FilePath/Town%20chief%20Mamadou%20Mansary%20%28centre%20with%20white%20beard%29%20and%20some%20residents%20of%20Bafodia%2C%20Sierra%20Leone%20%28West%20Africa%29%20%282078274863%29.jpg
http://www.wikidata.org/entity/Q43455,ethnology,social science that deals with ethnies (Peoples),academic discipline,cultural studies,http://commons.wikimedia.org/wiki/Special:FilePath/Vic%20Dessos%20Cabanne%20au%20col%20chemin%20d%27Aubus%20Regnault-%20M.Cochet%20-%20Fonds%20Trutat%20-%20MHNT.PHa.912.A422.jpg
http://www.wikidata.org/entity/Q34749,social science,academic discipline concerned with society and the relationships,branch of science,science,http://commons.wikimedia.org/wiki/Special:FilePath/Wealth%20of%20Nations%20title.jpg
http://www.wikidata.org/entity/Q43455,ethnology,social science that deals with ethnies (Peoples),social science,cultural studies,http://commons.wikimedia.org/wiki/Special:FilePath/Cultura%20material%20%28Museu%20Valenci%C3%A0%20d%27Etnologia%29.jpg
http://www.wikidata.org/entity/Q8008,earth sciences,fields of science dealing with planet Earth,academic discipline,natural science,http://commons.wikimedia.org/wiki/Special:FilePath/DirkvdM%20rocks.jpg
http://www.wikidata.org/entity/Q8008,earth sciences,fields of science dealing with planet Earth,academic discipline,natural science,http://commons.wikimedia.org/wiki/Special:FilePath/Limu%20o%20Pele.jpg
http://www.wikidata.org/entity/Q8008,earth sciences,fields of science dealing with planet Earth,academic discipline,natural science,http://commons.wikimedia.org/wiki/Special:FilePath/Seawifs%20global%20biosphere%20Centered%20on%20the%20Pacific.jpg
http://www.wikidata.org/entity/Q11661,Information Technology,"development, management, and use of computer-based information systems",branch of science,technology,http://commons.wikimedia.org/wiki/Special:FilePath/Papertape3.jpg
http://www.wikidata.org/entity/Q394,metrology,science of measurement and its application,academic discipline,physical science,http://commons.wikimedia.org/wiki/Special:FilePath/MicrometerInside5-30%2025-50.jpg
http://www.wikidata.org/entity/Q11661,Information Technology,"development, management, and use of computer-based information systems",industry,service,http://commons.wikimedia.org/wiki/Special:FilePath/Papertape3.jpg
http://www.wikidata.org/entity/Q394,metrology,science of measurement and its application,academic major,physical science,http://commons.wikimedia.org/wiki/Special:FilePath/MicrometerInside5-30%2025-50.jpg
http://www.wikidata.org/entity/Q11468,nanotechnology,field of applied science whose theme is the control of matter on atomic and (supra)molecular scale,branch of science,technology,http://commons.wikimedia.org/wiki/Special:FilePath/Fullerene%20Nanogears%20-%20GPN-2000-001535.jpg
http://www.wikidata.org/entity/Q11468,nanotechnology,field of applied science whose theme is the control of matter on atomic and (supra)molecular scale,branch of science,technology,http://commons.wikimedia.org/wiki/Special:FilePath/Kohlenstoffnanoroehre%20Animation.gif
http://www.wikidata.org/entity/Q11023,engineering,applied science,academic discipline,applied science,http://commons.wikimedia.org/wiki/Special:FilePath/Adjusting%20a%20power%20meter%20at%20an%20optical%20communications%20system%20testbed.jpg
http://www.wikidata.org/entity/Q43455,ethnology,social science that deals with ethnies (Peoples),social science,cultural studies,http://commons.wikimedia.org/wiki/Special:FilePath/Huculi%201902.png
http://www.wikidata.org/entity/Q43455,ethnology,social science that deals with ethnies (Peoples),social science,cultural studies,http://commons.wikimedia.org/wiki/Special:FilePath/Town%20chief%20Mamadou%20Mansary%20%28centre%20with%20white%20beard%29%20and%20some%20residents%20of%20Bafodia%2C%20Sierra%20Leone%20%28West%20Africa%29%20%282078274863%29.jpg
http://www.wikidata.org/entity/Q43455,ethnology,social science that deals with ethnies (Peoples),social science,cultural studies,http://commons.wikimedia.org/wiki/Special:FilePath/Vic%20Dessos%20Cabanne%20au%20col%20chemin%20d%27Aubus%20Regnault-%20M.Cochet%20-%20Fonds%20Trutat%20-%20MHNT.PHa.912.A422.jpg
http://www.wikidata.org/entity/Q420,biology,study of life,branch of science,natural science,http://commons.wikimedia.org/wiki/Special:FilePath/Aerial%20view%20of%20the%20Amazon%20Rainforest.jpg
http://www.wikidata.org/entity/Q43455,ethnology,social science that deals with ethnies (Peoples),cultural studies,cultural studies,http://commons.wikimedia.org/wiki/Special:FilePath/Cultura%20material%20%28Museu%20Valenci%C3%A0%20d%27Etnologia%29.jpg
http://www.wikidata.org/entity/Q11661,Information Technology,"development, management, and use of computer-based information systems",branch of science,service,http://commons.wikimedia.org/wiki/Special:FilePath/Papertape3.jpg
http://www.wikidata.org/entity/Q7991,natural science,branch of science about the natural world,school subject,science,http://commons.wikimedia.org/wiki/Special:FilePath/ADN%20animation.gif
http://www.wikidata.org/entity/Q7991,natural science,branch of science about the natural world,school subject,science,http://commons.wikimedia.org/wiki/Special:FilePath/Brokechromo.jpg
http://www.wikidata.org/entity/Q7991,natural science,branch of science about the natural world,school subject,science,http://commons.wikimedia.org/wiki/Special:FilePath/NaturalScienceMontage.png
http://www.wikidata.org/entity/Q338,cosmology,academic study of the Universe,branch of science,physics,http://commons.wikimedia.org/wiki/Special:FilePath/Universum.jpg
http://www.wikidata.org/entity/Q279029,string cosmology,,,,
http://www.wikidata.org/entity/Q430570,Q430570,,,,
http://www.wikidata.org/entity/Q893206,Q893206,,,,
http://www.wikidata.org/entity/Q780685,quantum cosmology,,,,
http://www.wikidata.org/entity/Q1046109,Q1046109,,,,
http://www.wikidata.org/entity/Q864512,biocybernetics,,,,
http://www.wikidata.org/entity/Q1235196,documentation science,,,,
http://www.wikidata.org/entity/Q1653569,Q1653569,,,,
http://www.wikidata.org/entity/Q670703,Reichsbanner Schwarz-Rot-Gold,,,,
http://www.wikidata.org/entity/Q212881,history of physics,aspect of history,,,
http://www.wikidata.org/entity/Q1666910,International Society for Scientometrics and Informetrics,,,,
http://www.wikidata.org/entity/Q1753447,Project-based learning,,,,
http://www.wikidata.org/entity/Q83371,seismology,scientific study of earthquakes,,,
http://www.wikidata.org/entity/Q474200,shipbuilding,construction of ships and floating vessels,,,
http://www.wikidata.org/entity/Q212919,palynology,study of dust,,,
http://www.wikidata.org/entity/Q192116,cryogenics,study of the production and behaviour of materials at very low temperatures,,,
http://www.wikidata.org/entity/Q720858,human ecology,"interdisciplinary and transdisciplinary study of the relationship between humans and their natural, social, and built environments",,,
http://www.wikidata.org/entity/Q905421,Differentiated instruction,,,,
http://www.wikidata.org/entity/Q1384130,exopolitics,,,,
http://www.wikidata.org/entity/Q184274,celestial mechanics,branch of astronomy,,,
http://www.wikidata.org/entity/Q131222,information theory,mathematical theory from the field of probability theory and statistics,,,
http://www.wikidata.org/entity/Q133805,epidemiology,"study of the patterns, causes, and effects of health and disease conditions",,,
http://www.wikidata.org/entity/Q193627,logical positivism,20th century philosophical movement which believed that indicative sentences were only cognitively meaningful if there existed an effective procedure for verifying their truth,,,
http://www.wikidata.org/entity/Q210958,monophyly,"condition of being monophyletic, of including all descendants from a given ancestral species",,,
http://www.wikidata.org/entity/Q173113,agronomy,"science and technology of producing and using plants for food, fuel, fiber, and reclamation",,,
http://www.wikidata.org/entity/Q193343,tectonics,,,,
http://www.wikidata.org/entity/Q191567,Zerebralisation,the evolutionary development of the brain volume and the degree of deployment of the brain of vertebrates and man,,,
http://www.wikidata.org/entity/Q193091,optoelectronics,branch of electronics involving optics,,,
http://www.wikidata.org/entity/Q321249,applied linguistics,"interdisciplinary field of linguistics that identifies, investigates, and offers solutions to language-related real-life problems",,,
http://www.wikidata.org/entity/Q710679,traditional Korean medicine,,,,
http://www.wikidata.org/entity/Q373184,surface science,"study of physical and chemical phenomena that occur at the interface of two phases,including solid–liquid interfaces,solid–gas interfaces, solid–vacuum interfaces, liquid–gas interfaces.It includes the fields of surface chemistry, surface physics",,,
http://www.wikidata.org/entity/Q228736,materials science,interdisciplinary field which deals with the discovery and design of new materials; primarily concerned with the physical and chemical properties of solids,,,
http://www.wikidata.org/entity/Q1662034,industrial history,,,,
http://www.wikidata.org/entity/Q864277,Bioelectrochemistry,,,,
http://www.wikidata.org/entity/Q403356,kampo,"system of diagnosis, therapy and study of traditional Chinese medicine in Japan",,,
http://www.wikidata.org/entity/Q351625,theoretical linguistics,,,,
http://www.wikidata.org/entity/Q719597,energetics,,,,
http://www.wikidata.org/entity/Q758881,audiometry,,,,
