item,itemLabel,itemDescription,instanceLabel,subclassLabel,image
http://www.wikidata.org/entity/Q441,botany,science of plant life,academic discipline,biology,http://commons.wikimedia.org/wiki/Special:FilePath/Bl%C3%A4tter%20mit%20Eis%20%2811400428245%29.jpg
http://www.wikidata.org/entity/Q441,botany,science of plant life,academic major,biology,http://commons.wikimedia.org/wiki/Special:FilePath/Bl%C3%A4tter%20mit%20Eis%20%2811400428245%29.jpg
http://www.wikidata.org/entity/Q7991,natural science,branch of science about the natural world,branch of science,science,http://commons.wikimedia.org/wiki/Special:FilePath/ADN%20animation.gif
http://www.wikidata.org/entity/Q7991,natural science,branch of science about the natural world,branch of science,science,http://commons.wikimedia.org/wiki/Special:FilePath/Brokechromo.jpg
http://www.wikidata.org/entity/Q7991,natural science,branch of science about the natural world,branch of science,science,http://commons.wikimedia.org/wiki/Special:FilePath/NaturalScienceMontage.png
http://www.wikidata.org/entity/Q7215,virology,study of viruses,branch of biology,microbiology,http://commons.wikimedia.org/wiki/Special:FilePath/Cytomegalovirus%2001.jpg
http://www.wikidata.org/entity/Q7094,biochemistry,study of chemical processes in living organisms,interdisciplinary science,biology,http://commons.wikimedia.org/wiki/Special:FilePath/Fat%20triglyceride%20shorthand%20formula.PNG
http://www.wikidata.org/entity/Q7150,ecology,scientific study of the relationships between living organisms,branch of geography,biogeography,http://commons.wikimedia.org/wiki/Special:FilePath/Grib%20skov.jpg
http://www.wikidata.org/entity/Q7162,genetics,"science of genes, heredity, and variation in living organisms",branch of biology,biology,http://commons.wikimedia.org/wiki/Special:FilePath/Gene.png
http://www.wikidata.org/entity/Q7094,biochemistry,study of chemical processes in living organisms,branch of chemistry,organic chemistry,http://commons.wikimedia.org/wiki/Special:FilePath/Fat%20triglyceride%20shorthand%20formula.PNG
http://www.wikidata.org/entity/Q7877,electrochemistry,branch of chemistry,branch of chemistry,physical chemistry,http://commons.wikimedia.org/wiki/Special:FilePath/Schemas%20electrolyse%20h2o.jpg
http://www.wikidata.org/entity/Q8008,earth sciences,fields of science dealing with planet Earth,academic discipline,natural science,http://commons.wikimedia.org/wiki/Special:FilePath/DirkvdM%20rocks.jpg
http://www.wikidata.org/entity/Q8008,earth sciences,fields of science dealing with planet Earth,academic discipline,natural science,http://commons.wikimedia.org/wiki/Special:FilePath/Limu%20o%20Pele.jpg
http://www.wikidata.org/entity/Q8008,earth sciences,fields of science dealing with planet Earth,academic discipline,natural science,http://commons.wikimedia.org/wiki/Special:FilePath/Seawifs%20global%20biosphere%20Centered%20on%20the%20Pacific.jpg
http://www.wikidata.org/entity/Q7215,virology,study of viruses,branch of biology,microbiology,http://commons.wikimedia.org/wiki/Special:FilePath/Adenovirus%20weis.jpg
http://www.wikidata.org/entity/Q7215,virology,study of viruses,branch of biology,microbiology,http://commons.wikimedia.org/wiki/Special:FilePath/West%20Nile%20virus%20EM%20PHIL%202290%20lores.jpg
http://www.wikidata.org/entity/Q7094,biochemistry,study of chemical processes in living organisms,interdisciplinary science,organic chemistry,http://commons.wikimedia.org/wiki/Special:FilePath/Fat%20triglyceride%20shorthand%20formula.PNG
